city_name,latitude,longitude
"Monterey, CA",36.2231079,-121.387742
"Key West, FL",24.5548262,-81.8020722
"Gillette, WY",44.290635,-105.501876
"Victoria, TX",28.8026443,-96.9766308
"Juneau, AK",58.3019496,-134.419734
"Baltimore, MD",39.2908816,-76.610759
"Liberal, KS",37.0430812,-100.920999
"Burbank, CA",34.1812089,-118.307201
"St. Cloud, MN",45.5616075,-94.1642004
"Traverse City, MI",44.7606481,-85.6165976
"Aspen, CO",39.1911128,-106.82356
"Everett, WA",47.9793437,-122.2127011
"Greer, SC",34.9381361,-82.2272119
"Fayetteville, AR",36.0625843,-94.1574328
"Elmira/Corning, NY",42.16082385,-76.8941293224737
"Jackson, WY",43.479965,-110.761815
"Hattiesburg/Laurel, MS",31.4672,-89.3363366
"Niagara Falls, NY",43.08436,-79.0614686
"Martha's Vineyard, MA",41.39204545,-70.62081381546194
"Stillwater, OK",36.1156306,-97.0585717
"Cordova, AK",60.5443385,-145.7595063
"Newark, NJ",40.735657,-74.1723667
"Kahului, HI",20.8894101,-156.4727118
"Harlingen/San Benito, TX",26.14961095,-97.66514417968443
"West Yellowstone, MT",44.6632056,-111.1012064
"Portsmouth, NH",43.0702223,-70.7548621
"Valparaiso, FL",30.5085309,-86.5027282
"Columbus, OH",39.9622601,-83.0007065
"Flint, MI",43.0161693,-83.6900211
"Dothan, AL",31.2237285,-85.3934375
"Joplin, MO",37.0841838,-94.5133385
"St. Louis, MO",38.6280278,-90.1910154
"Adak Island, AK",51.79622495,-176.57442259513414
"Kalamazoo, MI",42.291707,-85.5872286
"Fort Wayne, IN",41.0799898,-85.1386015
"Tulsa, OK",36.1563122,-95.9927516
"Kodiak, AK",57.79,-152.407222
"Fort Smith, AR",35.3880338,-94.4265011
"Sioux City, IA",42.4966815,-96.4058782
"Fresno, CA",36.7394421,-119.78483
"Moline, IL",41.5058344,-90.5136642
"Birmingham, AL",33.5206824,-86.8024326
"Wichita, KS",37.6922361,-97.3375448
"Lewiston, ID",46.4195913,-117.0216144
"Great Falls, MT",47.5048851,-111.29189
"Islip, NY",40.7300685,-73.2107266
"Lawton/Fort Sill, OK",34.569849500000004,-98.41812229900623
"Marquette, MI",46.4481521,-87.6305899
"Mosinee, WI",44.7927669,-89.7030748
"Lake Charles, LA",30.2305095,-93.2169807
"Devils Lake, ND",48.112779,-98.86512
"Cincinnati, OH",39.1014537,-84.5124602
"Memphis, TN",35.1460249,-90.0517638
"Nashville, TN",36.1622767,-86.7742984
